ID,Name,Company,Category,Subcategory,Input Type,Output Type,Task Description,Cost,Ease of Use,Integration,Languages,Rating,Popularity,Accuracy ,Speed ,Training Domain,Link,Unnamed: 18
1.0,chatgpt,openai,text,"conversation, summarization, q&a, translation, content generation",text,text,"Conversational AI, text-based reasoning, summarization, translation, creative writing",free,1.0,"api, web",multilingual,0.96,0.5,85–90%,Fast,general,https://chatgpt.com/,unknown
2.0,claude,anthropic,text,"q&a, summarization, code completion, data analysis, sentiment analysis",text,text,"Generate human-like responses, answer questions, summarize information, write code, and perform complex reasoning tasks using natural language processing. Constitutional AI focuses on ethical and non-biased responses.",free,1.0,"api, web, desktop app, mobile app",multilingual,0.9259999999999999,0.5,62-98%,Fast,general,https://claude.ai/,unknown
3.0,dora,dora.run,automation,"text-to-website generation, code generation / completion, workflow automation, image/layout generation, recommendation system (design suggestions)",text,"website, webpage layouts & ui designs","Creates custom website designs, not just templates according to the given prompt. It provides editing options allowing users to refine text, images and layout visually. ",free,0.0,"web, plugin (figma)",english,0.89,0.5,88-90%,"Medium, Fast","web design (layouts, ui, responsive, 3d animated web)",Dora,unknown
4.0,perplexity,perplexity ai,"search, web","q&a, research assistant, summarization","text, voice","text, links","AI-powered search engine with conversational Q&A, real-time web browsing, and fact-checked citations.",free,1.0,"web, mobile app",multilingual,0.9199999999999999,0.5,80–92%,Fast,"search, chat",https://www.perplexity.ai,unknown
5.0,chatpdf,chatpdf,text,"document summarization, q&a, text generation","files, text",text,"A Conversational AI designed for summarising, understanding analyzing and answering questions on the Document provided.",free,0.0,"api, web",multilingual,0.96,0.5,85-90%,Fast,"text documents (pdfs, research papers, reports)",https://www.chatpdf.com/,unknown
6.0,paperpal,cactus communications,text,"academic writing assistant, grammar & proofreading, citation and research support","text (academic writing, drafts, pdfs via chat)",text,"Writing assistant AI designed to improve Grammar, Style, Paraphrasing, Summarization. Helps in citation generation and Plagarism checking for submission readiness.",free,1.0,"web, plugin (word, docs, overleaf)",multilingual,0.8800000000000001,0.5,90%,Fast,academic & scholarly texts,https://paperpal.com/,unknown
7.0,jasper ai,jasper,"text, marketing","copywriting, blog writing, ads, seo content",text,text,"AI for businesses & marketers to generate blogs, ads, social media posts, and brand-specific content.",unknown,0.0,"web, api",english,0.8800000000000001,0.5,82-90%,"Medium, Fast","marketing, content",https://www.jasper.ai,unknown
8.0,replit ai,replit,coding,"code completion, debugging, app generation","code, text",code,"In-IDE coding AI assistant that helps write, debug, and generate applications.",free,0.0,replit ide,english,0.8400000000000001,0.5,76-85%,Medium,programming,https://replit.com/ai,unknown
9.0,midjourney,midjourney,image gen,art & design generation,text,image,"AI art generator creating high-quality, artistic images from text prompts; strong focus on creativity and style.",unknown,2.0,discord,english,0.9400000000000001,0.5,85-95%,Medium,creative design,https://www.midjourney.com,unknown
10.0,flow,google labs / deepmind,"automation, image & video","ai filmmaking, video generetion","text, images",video clips,"AI filmaking tool designed for creatives to generate short cinematic video clips using text prompt or images. Leveraging models like Veo (video), Imagen (image), and Gemini (text), it enables scene building, asset management, camera controls, audiovideo generation, and iterative filmmaking workflows",free,1.0,web (via google labs),english,0.9199999999999999,0.5,68-81%,"Medium, Fast",video & cinematic media,https://labs.google/flow/about,unknown
11.0,grok,xai,"text, image","conversational ai, chatbot, large language model (llm)","text, image, documents, diagrams","text, code","An AI research assistant that provides real-time updates on current events by analyzing live data from the X platform. It's also able to understand images and documents and is known for its witty, less-restricted personality, which allows it to handle a wider variety of queries.",free,1.0,"web,api,sdk,mobile app",multilingual,0.9,0.5,90.6,Fast,general,https://grok.com,unknown
12.0,pebblely,pebblely,image,"ai product image generator, background removal & enhancement","text, image",image,"An Ai designed to transform plain product photos into polished marketing visuals by removing backgrounds, generating realistic scenes, adding reflections and shadows, and enabling post-generation edits like resizing, object removal, logo overlay, and bulk generation",free,1.0,"web, api, plugin (shopify)",english,0.82,0.5,Not Available,Fast,e-commerce product photography & visual marketing,https://pebblely.com/,unknown
13.0,cursor,anysphere,"code, developer tools","ai-powered code editor / ide, code completion","keyboard input, text prompts, code context (existing code files)","autocompleted code, multi-line edits, natural-language-coded changes, chat-guided coding responses","Integrated AI coding assistant built on a fork of VS Code, offering autocomplete, refactoring, natural language editing, codebase reasoning, agent-mode operations, and privacy-conscious development workflows",free,3.0,"desktop app, api",english,0.95,0.5,90-99%,Fast,software codebases & development workflows,https://cursor.com/,unknown
14.0,mistral,mistral ai,"text, code","q&a, reasoning, summarization, coding",text,"text, code","Open-weight LLMs (Mistral 7B, Mixtral) optimized for reasoning, summarization, and code tasks.",open-source,0.0,"api, local deployment",multilingual,0.9,0.5,80-92%,Fast,"general, coding",https://mistral.ai, 
15.0,llama,meta ai,large language model,open-source nlp models,text,text,"Meta’s family of open-source LLMs for research, reasoning, and general NLP tasks",free,2.0,"api, research platforms",multilingual,0.8800000000000001,0.5,80-90%,Medium,"academic nlp, research & open-source development",https://ai.meta.com/llama,unknown
16.0,relumeai,relume,website design / web development tool,"ai site builder — sitemap, wireframe, style guide generation",text,"sitemap, wireframe, style guide, exported components","An AI-powered design ally — generates structured sitemaps and wireframes from text prompts, infills them with real components (unstyled), and allows customization and export to Figma, Webflow, or React for further refinement",free,0.0,"web, plugin (figma plugin, webflow/react components export)",english,0.9199999999999999,0.5,unknown,Fast,web design / ui/ux / marketing websites,https://www.relume.io/,unknown
17.0,khroma,digital maagic,design / color palette generator,ai-powered color palette generation tool,color preferences (selection of 50 colors),"personalized color palettes (typography, gradients, images, css code, etc.)",Learns user-selected colors to train AI and generate endless personalized color palettes.,free,1.0,web,english,0.82,0.5,96-99%,"Medium, Fast",color theory / design algorithms,https://www.khroma.co/,unknown
18.0,characterai,character tech,conversational ai,roleplay & personality bots,text,text,"Lets users chat with AI characters that mimic personalities for roleplay, companionship, Q&A",free,1.0,web,multilingual,0.86,0.5,75-85%,Fast,conversational simulation & roleplay ai,https://character.ai,unknown
